call,node_depth,var,score,num_candidates,time
163,9,t_x_89,0.3418552133182626,46,9.813927
164,10,t_x_76,0.3397542609479636,45,9.849088
165,11,t_x_83,0.3381592926679389,44,9.884739
166,12,t_x_77,0.33679519038950717,43,9.919172
167,13,t_x_80,0.33654528594539296,42,9.954462
168,14,t_x_78,0.33629539686852905,41,9.989177
169,15,t_x_20,0.3353069744273539,40,10.022690
170,16,t_x_85,0.3329427103660081,39,10.044210
171,17,t_x_86,0.33251677012533615,38,10.104785
172,18,t_x_417,0.33220260282135483,37,10.137686
173,19,t_x_361,0.33157642028416945,36,10.159872
174,20,t_x_288,0.35556806203507985,430,10.211359
175,21,t_x_89,0.3418552133182626,65,10.373362
176,22,t_x_365,0.3384154625966223,64,10.423843
177,20,t_x_75,0.3306908869598732,35,10.458960
178,21,t_x_37,0.32979972676975927,34,10.482354
179,22,t_x_97,0.3290778133744423,33,10.504253
180,23,t_x_129,0.3285813450795422,32,10.525925
181,24,t_x_62,0.32853857799150243,31,10.547476
182,25,t_x_68,0.32792695399343874,30,10.568649
183,26,t_x_71,0.32765571981761243,29,10.590454
184,27,t_x_172,0.32742867952012167,28,10.611813
185,21,t_x_216,0.3521249995622725,429,10.671255
186,22,t_x_330,0.3364988573519652,57,10.831482
187,23,t_x_342,0.33409322479786047,56,10.875974
188,18,t_x_77,0.33679519038950717,78,10.929135
189,19,t_x_21,0.33674725056917193,77,10.981155
190,20,t_x_20,0.3353069744273539,35,11.016784
191,22,t_x_108,0.3520113921409134,428,11.074063
192,23,t_x_25,0.3388881960489056,45,11.228252
193,24,t_x_23,0.33750992239639216,44,11.262179
194,21,t_x_75,0.3306908869598732,34,11.302876
195,22,t_x_201,0.3291212094295495,33,11.324414
196,23,t_x_150,0.3286823076073712,32,11.346611
197,24,t_x_153,0.32837066835719786,31,11.368074
198,25,t_x_270,0.32783001401543077,30,11.389047
199,26,t_x_400,0.3277550551348225,29,11.410112
200,27,t_x_19,0.32721141007081767,28,11.430861
201,23,t_x_335,0.35159119477102835,427,11.502106
202,24,t_x_76,0.3397542609479636,80,11.672889
203,25,t_x_83,0.3381592926679389,79,11.728485
204,20,t_x_170,0.33769692936302953,87,11.791312
205,21,t_x_26,0.33710634432496456,86,11.849938
206,22,t_x_80,0.33654528594539296,85,11.905588
207,20,t_x_80,0.33654528594539296,76,11.967356
208,21,t_x_78,0.33629539686852905,75,12.015130
209,22,t_x_20,0.3353069744273539,74,12.062816
210,23,t_x_75,0.3306908869598732,34,12.094907
